ANGAS PLAINS,ANGAS PLAINS SA 5255
ASHBOURNE,ASHBOURNE SA 5157
BELVIDERE,BELVIDERE SA 5255
BLACKFELLOWS CREEK,BLACKFELLOWS CREEK SA 5201
BLETCHLEY,BLETCHLEY SA 5255
BULL CREEK,BULL CREEK SA 5157
CHITON,CHITON SA 5211
CLAYTON BAY,CLAYTON BAY SA 5256
CURRENCY CREEK,CURRENCY CREEK SA 5214
DINGABLEDINGA,DINGABLEDINGA SA 5172
FINNISS,FINNISS SA 5255
GEMMELLS,GEMMELLS SA 5255
GOOLWA,GOOLWA SA 5214
GOOLWA BEACH,GOOLWA BEACH SA 5214
GOOLWA NORTH,GOOLWA NORTH SA 5214
GOOLWA SOUTH,GOOLWA SOUTH SA 5214
HARTLEY,HARTLEY SA 5255
HAYBOROUGH,HAYBOROUGH SA 5211
HIGHLAND VALLEY,HIGHLAND VALLEY SA 5255
HINDMARSH ISLAND,HINDMARSH ISLAND SA 5214
HOPE FOREST,HOPE FOREST SA 5172
KUITPO,KUITPO SA 5201
KUITPO COLONY,KUITPO COLONY SA 5172
KYEEMA,KYEEMA SA 5172
LAKE PLAINS,LAKE PLAINS SA 5255
LANGHORNE CREEK,LANGHORNE CREEK SA 5255
MACCLESFIELD,MACCLESFIELD SA 5153
MCHARG CREEK,MCHARG CREEK SA 5157
MIDDLETON,MIDDLETON SA 5213
MILANG,MILANG SA 5256
MONTARRA,MONTARRA SA 5172
MOSQUITO HILL,MOSQUITO HILL SA 5214
MOUNT COMPASS,MOUNT COMPASS SA 5210
MOUNT JAGGED,MOUNT JAGGED SA 5211
MOUNT MAGNIFICENT,MOUNT MAGNIFICENT SA 5210
MOUNT OBSERVATION,MOUNT OBSERVATION SA 5255
MUNDOO ISLAND,MUNDOO ISLAND SA 5214
NANGKITA,NANGKITA SA 5210
NURRAGI,NURRAGI SA 5256
PAGES FLAT,PAGES FLAT SA 5172
PARIS CREEK,PARIS CREEK SA 5201
POINT STURT,POINT STURT SA 5256
PORT ELLIOT,PORT ELLIOT SA 5212
PROSPECT HILL,PROSPECT HILL SA 5201
RED CREEK,RED CREEK SA 5255
SALEM,SALEM SA 5255
SANDERGROVE,SANDERGROVE SA 5255
STRATHALBYN,STRATHALBYN SA 5255
THE RANGE,THE RANGE SA 5172
TOLDEROL,TOLDEROL SA 5256
TOOPERANG,TOOPERANG SA 5255
WILLUNGA HILL,WILLUNGA HILL SA 5172
WILLYAROO,WILLYAROO SA 5255
WOODCHESTER,WOODCHESTER SA 5255
YUNDI,YUNDI SA 5172
